epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2971,1.15146,10.864,0.01463,0.00014,0.04082,7e-05,1e-05,1.70866,111.873,0.02589,0.0001,0.0001,0.0901
2,50.7046,0.95467,2.45427,0.01045,0,0,0,0,2.5314,14.2876,0.04494,0.000209996,0.000209996,0.07921
3,60.5519,0.86483,1.27885,0.00981,0.09434,0.10204,0.10007,0.0708,1.45395,4.82576,0.02167,0.000319974,0.000319974,0.06832
4,73.1594,0.85324,1.03764,0.00959,0.76234,0.30612,0.38883,0.29272,1.01377,2.9006,0.01361,0.000429923,0.000429923,0.0574299
5,85.2454,0.76632,0.90174,0.00848,0.86831,0.40816,0.61764,0.45537,1.00204,2.01515,0.01467,0.000539828,0.000539828,0.0465398
6,98.5816,0.7704,0.81299,0.00851,0.14672,0.77551,0.23734,0.16609,0.94881,2.84972,0.01473,0.000649676,0.000649676,0.0356497
7,112.267,0.72338,0.77608,0.0072,0.83201,0.61224,0.81573,0.60722,0.79821,1.20742,0.01223,0.000759455,0.000759455,0.0247595
8,124.501,0.79191,0.78689,0.00853,0.86924,0.69388,0.78465,0.599,0.81317,1.24132,0.01216,0.00086915,0.00086915,0.0138692
9,137.142,0.85226,0.84642,0.00993,0.88249,0.61305,0.76805,0.57848,0.87805,1.23674,0.01506,0.00097875,0.00097875,0.00297875
10,149.491,0.75329,0.72681,0.00895,0.82038,0.79592,0.86209,0.70076,0.81451,0.9202,0.01345,0.000998386,0.000998386,0.000998386
11,162.084,0.72063,0.62553,0.00854,0.95593,0.89796,0.95121,0.72577,0.95752,0.55315,0.01844,0.000998007,0.000998007,0.000998007
12,173.865,0.78816,0.63397,0.01051,1,0.91824,0.96401,0.75084,0.87267,0.45452,0.01478,0.000997589,0.000997589,0.000997589
13,187.312,0.77059,0.59525,0.0079,0.95911,0.95751,0.98007,0.8027,0.71609,0.36349,0.01037,0.000997131,0.000997131,0.000997131
14,200.745,0.81784,0.57841,0.00883,0.9782,0.91594,0.97859,0.84124,0.62852,0.35441,0.00936,0.000996634,0.000996634,0.000996634
15,213.031,0.74065,0.52909,0.00881,0.91993,0.93784,0.9603,0.82116,0.68473,0.37645,0.01079,0.000996097,0.000996097,0.000996097
16,224.75,0.74003,0.54533,0.00772,0.90213,0.89796,0.97333,0.8006,0.80348,0.3493,0.01302,0.00099552,0.00099552,0.00099552
17,237.079,0.76116,0.60269,0.0092,0.82484,0.96107,0.95458,0.77558,0.7535,0.40213,0.01381,0.000994904,0.000994904,0.000994904
18,248.152,0.76502,0.58786,0.00931,0.91105,0.89796,0.93132,0.77564,0.66761,0.51176,0.01054,0.000994248,0.000994248,0.000994248
19,258.611,0.78783,0.65053,0.00924,0.93302,0.85294,0.92049,0.78382,0.68162,0.46027,0.00965,0.000993553,0.000993553,0.000993553
20,270.747,0.78755,0.55107,0.01006,0.89171,0.93878,0.9753,0.84377,0.64572,0.37798,0.00914,0.000992819,0.000992819,0.000992819
21,282.325,0.76664,0.52305,0.00936,0.88421,0.97959,0.98145,0.81216,0.72588,0.39384,0.00963,0.000992045,0.000992045,0.000992045
22,295.116,0.76987,0.57944,0.00952,0.99496,0.97959,0.99349,0.86409,0.63848,0.3052,0.00914,0.000991232,0.000991232,0.000991232
23,306.113,0.61763,0.541,0.00622,0.96168,0.91837,0.98759,0.87669,0.56963,0.2816,0.00701,0.00099038,0.00099038,0.00099038
24,317.029,0.72358,0.58129,0.0076,0.87417,0.87755,0.93808,0.82075,0.62838,0.46279,0.00882,0.000989489,0.000989489,0.000989489
25,328.282,0.72066,0.53023,0.00761,0.95111,0.87755,0.96675,0.82945,0.62501,0.40471,0.00837,0.000988559,0.000988559,0.000988559
26,338.889,0.72508,0.56434,0.00818,0.87906,0.89008,0.95126,0.84666,0.53153,0.59774,0.00685,0.000987589,0.000987589,0.000987589
27,348.77,0.65921,0.52033,0.0071,0.96474,0.87755,0.97017,0.86484,0.60245,0.3683,0.00767,0.000986581,0.000986581,0.000986581
28,359.726,0.6029,0.41169,0.00704,0.95794,0.92983,0.98329,0.88387,0.52677,0.29256,0.00708,0.000985534,0.000985534,0.000985534
29,371.171,0.64353,0.49207,0.00762,0.90071,0.93878,0.97766,0.86835,0.5764,0.29848,0.00811,0.000984449,0.000984449,0.000984449
30,382.415,0.68819,0.60198,0.00725,0.87752,0.97959,0.97984,0.844,0.60948,0.36574,0.00879,0.000983324,0.000983324,0.000983324
31,393.573,0.61986,0.55018,0.0069,0.95929,0.96189,0.98988,0.88074,0.58044,0.26253,0.00816,0.000982162,0.000982162,0.000982162
32,405.446,0.60995,0.41258,0.00707,0.90233,0.95918,0.97873,0.82471,0.66786,0.36426,0.0092,0.00098096,0.00098096,0.00098096
33,416.537,0.63649,0.40745,0.00672,0.92072,0.94816,0.98042,0.83443,0.63158,0.30413,0.00991,0.000979721,0.000979721,0.000979721
34,427.582,0.63996,0.44656,0.00716,0.95884,1,0.99265,0.88755,0.5568,0.23909,0.00858,0.000978443,0.000978443,0.000978443
35,437.471,0.66041,0.4347,0.00824,0.95803,1,0.9934,0.87268,0.56195,0.23377,0.00865,0.000977127,0.000977127,0.000977127
36,448.622,0.64056,0.52903,0.00637,0.9464,1,0.99135,0.89373,0.48918,0.22765,0.00686,0.000975773,0.000975773,0.000975773
37,459.518,0.59538,0.40501,0.00673,0.95567,1,0.99258,0.85751,0.62316,0.24153,0.00949,0.000974381,0.000974381,0.000974381
38,469.54,0.66568,0.46945,0.0076,0.95989,0.97689,0.99019,0.86702,0.58433,0.23005,0.00829,0.000972951,0.000972951,0.000972951
39,480.952,0.67435,0.49112,0.00771,1,0.98806,0.995,0.88674,0.54311,0.20428,0.00692,0.000971484,0.000971484,0.000971484
40,492.999,0.644,0.41844,0.00783,0.94124,0.98077,0.99225,0.86709,0.58786,0.25312,0.00761,0.000969979,0.000969979,0.000969979
