epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1267,1.08297,4.31356,1.41788,0.00413,0.65306,0.11612,0.06154,1.42509,3.46973,1.73976,0.0001,0.0001,0.0901
2,16.298,0.71639,1.98436,1.12135,0.00089,0.12245,0.02206,0.00534,2.22784,4.37016,3.68484,0.000209996,0.000209996,0.07921
3,22.0152,0.65346,1.27841,1.0761,0,0,0,0,1.61719,4.83634,2.53919,0.000319974,0.000319974,0.06832
4,29.4989,0.61342,0.95698,1.01072,0,0,0,0,1.38319,5.14484,2.24331,0.000429923,0.000429923,0.0574299
5,36.204,0.64354,0.83764,1.04025,0.30303,0.20408,0.29264,0.20808,1.13764,4.95792,1.68123,0.000539828,0.000539828,0.0465398
6,44.7057,0.59576,0.76244,0.99869,0.93256,0.2824,0.56437,0.444,0.67522,2.73559,1.07683,0.000649676,0.000649676,0.0356497
7,51.7053,0.58,0.7448,0.97497,0.91026,0.41419,0.59177,0.45602,0.65087,2.69225,1.13018,0.000759455,0.000759455,0.0247595
8,61.1299,0.60484,0.76989,1.00108,0.75736,0.63708,0.70641,0.55144,0.69244,1.85168,1.15522,0.00086915,0.00086915,0.0138692
9,66.9604,0.58009,0.76649,0.98133,0.97637,0.84332,0.97033,0.74964,0.7534,1.56251,1.20348,0.00097875,0.00097875,0.00297875
10,77.3733,0.59284,0.70848,1.02831,0.97794,0.90487,0.98095,0.81488,0.58893,0.87375,1.10369,0.000998386,0.000998386,0.000998386
11,83.2851,0.55358,0.64971,0.97169,0.81497,0.89891,0.92914,0.78188,0.55384,1.01973,1.02825,0.000998007,0.000998007,0.000998007
12,92.3747,0.52616,0.66975,0.99205,0.66841,0.77551,0.73284,0.60089,0.66923,1.17379,1.08019,0.000997589,0.000997589,0.000997589
13,99.6277,0.54244,0.64824,0.95952,0.82371,0.67347,0.80671,0.62086,0.69933,1.17196,1.10624,0.000997131,0.000997131,0.000997131
14,107.641,0.51636,0.56899,0.94746,0.7865,0.91837,0.92528,0.79844,0.5712,0.77936,1.01235,0.000996634,0.000996634,0.000996634
15,115.224,0.52958,0.58586,0.94969,0.81272,0.71429,0.87201,0.7281,0.594,0.86954,1.04685,0.000996097,0.000996097,0.000996097
16,122.514,0.53498,0.61577,0.94815,0.93957,0.97959,0.98755,0.80412,0.60439,0.68254,1.06193,0.00099552,0.00099552,0.00099552
17,129.831,0.51612,0.59441,0.94536,0.95338,1,0.99343,0.84696,0.59499,0.6143,1.05206,0.000994904,0.000994904,0.000994904
18,137.75,0.52488,0.5905,0.95326,0.99756,1,0.995,0.86001,0.54195,0.55599,1.0353,0.000994248,0.000994248,0.000994248
19,146.14,0.53223,0.61197,0.96107,0.87159,1,0.98295,0.85548,0.50438,0.58593,0.97942,0.000993553,0.000993553,0.000993553
20,153.374,0.50378,0.60344,0.95961,0.99875,1,0.995,0.89476,0.47847,0.44369,0.95568,0.000992819,0.000992819,0.000992819
21,161.095,0.48254,0.54089,0.94937,0.99679,0.97959,0.989,0.89482,0.48316,0.47903,0.95215,0.000992045,0.000992045,0.000992045
22,170.623,0.53321,0.57479,1.00764,0.99758,0.97959,0.9946,0.86076,0.50712,0.55558,1.00279,0.000991232,0.000991232,0.000991232
23,178.955,0.46077,0.50201,0.90733,0.94324,0.91837,0.97166,0.87535,0.45077,0.72383,0.9434,0.00099038,0.00099038,0.00099038
24,185.162,0.49075,0.53252,0.9359,0.9387,0.93753,0.97945,0.88488,0.44125,0.60081,0.92709,0.000989489,0.000989489,0.000989489
25,193.696,0.4958,0.52692,0.94299,0.94169,0.98879,0.98848,0.87612,0.45479,0.50662,0.94176,0.000988559,0.000988559,0.000988559
26,201.022,0.52592,0.55128,0.9705,0.94089,1,0.98969,0.8833,0.48517,0.47762,0.94706,0.000987589,0.000987589,0.000987589
27,208.33,0.49543,0.50819,0.95558,1,0.99782,0.995,0.9117,0.43882,0.41067,0.92444,0.000986581,0.000986581,0.000986581
28,215.464,0.44989,0.47812,0.89566,1,0.9995,0.995,0.91775,0.45112,0.4499,0.93561,0.000985534,0.000985534,0.000985534
29,222.314,0.4735,0.55359,0.93492,1,0.99617,0.995,0.9155,0.42333,0.42283,0.8998,0.000984449,0.000984449,0.000984449
30,232.077,0.50832,0.55354,0.93983,0.99789,1,0.995,0.90996,0.45623,0.40524,0.90977,0.000983324,0.000983324,0.000983324
31,238.343,0.45538,0.5467,0.93858,0.99819,1,0.995,0.91001,0.47087,0.38618,0.92685,0.000982162,0.000982162,0.000982162
32,245.375,0.45915,0.48479,0.92492,0.99781,1,0.995,0.92435,0.44712,0.40998,0.91837,0.00098096,0.00098096,0.00098096
33,251.77,0.44757,0.46656,0.91329,0.99852,1,0.995,0.91429,0.41594,0.36981,0.91338,0.000979721,0.000979721,0.000979721
34,260.246,0.45174,0.47761,0.91289,0.99804,1,0.995,0.92303,0.43655,0.37641,0.89591,0.000978443,0.000978443,0.000978443
35,267.002,0.45593,0.46233,0.93596,0.99663,1,0.995,0.90191,0.43429,0.45301,0.90689,0.000977127,0.000977127,0.000977127
36,274.465,0.47193,0.51532,0.93269,0.99993,0.97959,0.99422,0.87128,0.48127,0.4528,0.95603,0.000975773,0.000975773,0.000975773
37,281.231,0.46261,0.48737,0.91161,0.98896,0.93878,0.98467,0.82515,0.54221,0.5765,1.00821,0.000974381,0.000974381,0.000974381
38,289.835,0.46926,0.47525,0.92937,1,0.99371,0.995,0.87704,0.46669,0.48107,0.98436,0.000972951,0.000972951,0.000972951
39,296.772,0.48484,0.47448,0.93445,0.9979,0.95918,0.99139,0.90754,0.43563,0.4346,0.91937,0.000971484,0.000971484,0.000971484
40,304.022,0.47249,0.47333,0.93995,0.93569,0.97959,0.98133,0.88424,0.44772,0.52156,0.92347,0.000969979,0.000969979,0.000969979
41,310.757,0.46568,0.47392,0.93024,0.99767,1,0.995,0.92243,0.42111,0.37583,0.91931,0.000968436,0.000968436,0.000968436
42,319.336,0.43343,0.46396,0.92324,0.99882,1,0.995,0.91562,0.39163,0.34915,0.88772,0.000966856,0.000966856,0.000966856
43,325.872,0.45734,0.48294,0.91363,0.99837,1,0.995,0.91702,0.381,0.3421,0.896,0.000965239,0.000965239,0.000965239
44,334.042,0.48354,0.4966,0.94639,0.99853,1,0.995,0.91223,0.41913,0.35968,0.92746,0.000963585,0.000963585,0.000963585
45,340.88,0.42121,0.44082,0.90083,0.99814,1,0.995,0.9147,0.42806,0.37954,0.94286,0.000961894,0.000961894,0.000961894
46,349.135,0.45095,0.46747,0.93156,0.94032,0.96476,0.99148,0.9104,0.45114,0.41095,0.93771,0.000960166,0.000960166,0.000960166
47,355.749,0.43086,0.43215,0.90321,0.97972,0.9861,0.9946,0.91052,0.41863,0.36855,0.92465,0.000958402,0.000958402,0.000958402
48,363.748,0.44254,0.42687,0.91821,0.99737,1,0.995,0.93431,0.39601,0.3682,0.89438,0.000956601,0.000956601,0.000956601
49,370.214,0.43028,0.44367,0.9297,0.99789,1,0.995,0.92071,0.38974,0.33596,0.88803,0.000954763,0.000954763,0.000954763
50,378.404,0.40704,0.43488,0.92459,0.99726,1,0.995,0.93403,0.36568,0.33664,0.88291,0.000952889,0.000952889,0.000952889
51,385.415,0.43807,0.45827,0.91323,0.99812,1,0.995,0.92121,0.38882,0.35356,0.88816,0.00095098,0.00095098,0.00095098
52,393.425,0.43316,0.40549,0.89816,0.99846,1,0.995,0.92009,0.37832,0.36614,0.88987,0.000949034,0.000949034,0.000949034
53,399.766,0.39965,0.40558,0.89775,1,0.97868,0.9946,0.91739,0.36631,0.34623,0.88511,0.000947052,0.000947052,0.000947052
54,407.445,0.42872,0.43927,0.91132,0.99876,1,0.995,0.94025,0.3622,0.33036,0.88119,0.000945035,0.000945035,0.000945035
55,414.256,0.43084,0.4148,0.91142,0.99903,1,0.995,0.94915,0.38107,0.34619,0.87799,0.000942983,0.000942983,0.000942983
