epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.967,1.17377,10.3984,1.44597,0.18661,0.52443,0.14495,0.09453,0.76741,7.30762,1.22195,0.0001,0.0001,0.0901
2,20.2746,0.64167,1.55349,1.08071,0.88824,0.6489,0.80203,0.48917,1.13071,1.37951,1.51072,0.000209996,0.000209996,0.07921
3,28.9954,0.51319,0.76157,0.99119,0.81661,0.6362,0.74808,0.51204,1.11026,1.87843,1.5343,0.000319974,0.000319974,0.06832
4,39.6031,0.54702,0.73128,0.96061,0.89478,0.69418,0.8673,0.67479,0.87405,1.51682,1.29851,0.000429923,0.000429923,0.0574299
5,50.8979,0.56307,0.7339,0.98395,0.92446,0.74942,0.85164,0.66343,0.73277,1.29465,1.19226,0.000539828,0.000539828,0.0465398
6,61.9909,0.57385,0.70506,1.00105,0.91057,0.77551,0.89628,0.77117,0.66807,0.82854,1.21288,0.000649676,0.000649676,0.0356497
7,72.6776,0.57596,0.64057,0.97055,0.87178,0.83262,0.89382,0.72364,0.65206,1.06151,1.08613,0.000759455,0.000759455,0.0247595
8,81.7186,0.57552,0.64358,0.98647,0.84774,0.85714,0.93754,0.74563,0.68821,1.07173,1.13426,0.00086915,0.00086915,0.0138692
9,94.7916,0.56713,0.57109,0.98718,0.77515,0.95918,0.87829,0.65923,0.63655,1.30707,1.23271,0.00097875,0.00097875,0.00297875
10,104.032,0.58447,0.58182,1.00224,0.91986,0.93878,0.96308,0.79035,0.62061,1.23565,1.17054,0.000998386,0.000998386,0.000998386
11,114.203,0.58085,0.59259,1.01947,0.67844,0.95918,0.75915,0.64184,0.64732,2.30015,1.11688,0.000998007,0.000998007,0.000998007
12,126.383,0.61528,0.75171,1.04553,0.95617,0.7551,0.89812,0.71241,0.77521,1.20971,1.19247,0.000997589,0.000997589,0.000997589
13,135.212,0.57584,0.60934,1.00021,0.85911,0.93878,0.95133,0.77158,0.62435,1.31013,1.0817,0.000997131,0.000997131,0.000997131
14,145.012,0.54569,0.57667,0.96931,0.80347,0.95918,0.96972,0.85291,0.56427,1.67901,1.04014,0.000996634,0.000996634,0.000996634
15,156.155,0.56889,0.56972,1.01143,0.97947,0.97396,0.9942,0.88247,0.50123,0.87804,1.00145,0.000996097,0.000996097,0.000996097
16,168.105,0.54854,0.55421,0.94798,0.90853,0.95918,0.93889,0.84311,0.4922,0.81403,0.97756,0.00099552,0.00099552,0.00099552
17,180.084,0.57667,0.58009,1.00106,0.95885,0.95128,0.9845,0.85839,0.56054,0.67841,1.0314,0.000994904,0.000994904,0.000994904
18,188.999,0.54818,0.55623,1.00611,0.93793,0.95918,0.9794,0.85414,0.56053,0.63066,1.04665,0.000994248,0.000994248,0.000994248
19,197.465,0.5794,0.54325,0.99344,0.97956,0.97798,0.99209,0.87334,0.52449,0.50096,1.0049,0.000993553,0.000993553,0.000993553
20,206.712,0.55375,0.52182,1.00227,0.97981,0.99059,0.9942,0.86374,0.56213,0.52558,1.0121,0.000992819,0.000992819,0.000992819
21,215.128,0.52421,0.51819,0.97408,0.99147,0.95918,0.99235,0.8932,0.48459,0.45252,0.94664,0.000992045,0.000992045,0.000992045
22,223.441,0.56539,0.54959,1.02175,1,0.97673,0.99422,0.86319,0.50782,0.50513,0.95183,0.000991232,0.000991232,0.000991232
23,232.834,0.49178,0.50134,0.92439,0.99741,1,0.995,0.88398,0.47518,0.38155,0.98949,0.00099038,0.00099038,0.00099038
24,241.863,0.54072,0.53653,0.95859,0.97726,0.97959,0.98903,0.87045,0.52445,0.40699,0.96515,0.000989489,0.000989489,0.000989489
25,250.333,0.52018,0.50394,0.96532,0.99438,1,0.995,0.89255,0.50522,0.40662,0.95858,0.000988559,0.000988559,0.000988559
26,258.407,0.51532,0.51658,0.97286,0.96066,0.99666,0.99186,0.87297,0.50876,0.48953,0.99186,0.000987589,0.000987589,0.000987589
27,267.225,0.51141,0.4957,0.97549,0.94185,0.99175,0.98063,0.89491,0.45401,0.44981,0.95562,0.000986581,0.000986581,0.000986581
28,277.303,0.47762,0.46421,0.93967,0.8793,0.89212,0.89741,0.78242,0.52953,0.59265,0.9907,0.000985534,0.000985534,0.000985534
29,285.922,0.48293,0.50966,0.94765,0.97724,0.97959,0.99381,0.90453,0.43102,0.41743,0.93325,0.000984449,0.000984449,0.000984449
30,296.835,0.51907,0.50511,0.96906,0.99768,0.97959,0.9946,0.89431,0.47163,0.48306,0.96388,0.000983324,0.000983324,0.000983324
31,304.718,0.49346,0.46294,0.96501,0.99979,0.97959,0.99422,0.89033,0.5177,0.46358,1.00562,0.000982162,0.000982162,0.000982162
32,313.296,0.47541,0.4784,0.93508,0.95217,0.81266,0.90079,0.80338,0.52414,0.57527,1.03319,0.00098096,0.00098096,0.00098096
33,322.188,0.46905,0.4648,0.94904,0.94366,0.73469,0.88565,0.7523,0.62711,0.66486,1.1934,0.000979721,0.000979721,0.000979721
34,331.997,0.4931,0.47254,0.93694,0.91691,0.97959,0.96782,0.86802,0.5087,0.53464,1.01404,0.000978443,0.000978443,0.000978443
35,341.232,0.46701,0.4356,0.95533,0.99394,1,0.995,0.91215,0.42431,0.4003,0.92207,0.000977127,0.000977127,0.000977127
36,349.519,0.5195,0.51538,0.94864,0.98353,1,0.995,0.90938,0.45172,0.40183,0.91776,0.000975773,0.000975773,0.000975773
37,358.563,0.49462,0.47334,0.9583,0.98995,1,0.995,0.88361,0.47899,0.4092,0.94933,0.000974381,0.000974381,0.000974381
38,368.795,0.50458,0.47633,0.95171,0.97829,1,0.9812,0.86528,0.485,0.4542,0.963,0.000972951,0.000972951,0.000972951
39,380.338,0.53044,0.55235,0.97635,0.99399,0.97959,0.9946,0.89798,0.48851,0.44911,0.96067,0.000971484,0.000971484,0.000971484
40,388.885,0.51637,0.47251,0.97818,0.97754,1,0.982,0.87084,0.4402,0.37414,0.91055,0.000969979,0.000969979,0.000969979
41,397.104,0.50245,0.4687,0.96447,0.99357,1,0.995,0.8827,0.45632,0.36953,0.94833,0.000968436,0.000968436,0.000968436
42,405.9,0.47531,0.47087,0.95505,1,0.99667,0.995,0.89415,0.43031,0.41791,0.94088,0.000966856,0.000966856,0.000966856
43,416.056,0.49826,0.52624,0.92979,0.99254,1,0.995,0.89281,0.43032,0.41466,0.93399,0.000965239,0.000965239,0.000965239
44,425.99,0.50551,0.51682,0.97021,0.9975,1,0.995,0.91362,0.42951,0.43071,0.93285,0.000963585,0.000963585,0.000963585
45,435.015,0.45084,0.45672,0.92333,0.99649,1,0.995,0.91474,0.42061,0.44492,0.92956,0.000961894,0.000961894,0.000961894
46,446.877,0.43855,0.43879,0.9271,0.97646,1,0.995,0.89553,0.43629,0.41593,0.93306,0.000960166,0.000960166,0.000960166
47,455.056,0.46276,0.43914,0.91876,0.99532,0.97959,0.99385,0.9074,0.4352,0.35759,0.91983,0.000958402,0.000958402,0.000958402
48,467,0.47315,0.4272,0.9451,0.99759,1,0.995,0.92735,0.4076,0.32753,0.90549,0.000956601,0.000956601,0.000956601
49,476.044,0.46519,0.42307,0.95567,0.99891,0.97959,0.9831,0.90963,0.38391,0.4594,0.90508,0.000954763,0.000954763,0.000954763
50,484.043,0.44028,0.43515,0.93639,0.97895,0.94919,0.99106,0.91692,0.38125,0.40747,0.89721,0.000952889,0.000952889,0.000952889
51,493.426,0.46403,0.48432,0.9362,0.97217,1,0.9938,0.8964,0.43353,0.39404,0.92203,0.00095098,0.00095098,0.00095098
52,502.849,0.44907,0.42438,0.9075,0.97479,0.97959,0.98609,0.91358,0.43096,0.36736,0.90717,0.000949034,0.000949034,0.000949034
53,511.414,0.42539,0.39674,0.91201,0.97246,0.97959,0.98376,0.91941,0.42029,0.37322,0.90649,0.000947052,0.000947052,0.000947052
54,521.992,0.41939,0.40225,0.90672,0.97736,1,0.9844,0.90763,0.40333,0.35665,0.89742,0.000945035,0.000945035,0.000945035
55,530.549,0.43485,0.41008,0.91832,0.99846,1,0.995,0.91542,0.39832,0.30393,0.89763,0.000942983,0.000942983,0.000942983
56,540.003,0.45739,0.43117,0.93172,0.99873,1,0.995,0.93665,0.37118,0.29744,0.89736,0.000940895,0.000940895,0.000940895
57,548.382,0.43849,0.41255,0.93005,0.99679,1,0.995,0.92503,0.37276,0.2881,0.89452,0.000938772,0.000938772,0.000938772
58,557.327,0.43246,0.42676,0.92233,0.97513,0.97959,0.98679,0.92561,0.41756,0.35263,0.9234,0.000936614,0.000936614,0.000936614
59,566.586,0.46864,0.45563,0.94014,0.99618,1,0.995,0.94607,0.37511,0.42945,0.90144,0.000934421,0.000934421,0.000934421
60,575.139,0.44888,0.40785,0.91508,0.97547,1,0.991,0.94019,0.37648,0.41958,0.88172,0.000932194,0.000932194,0.000932194
